latitude;longitude;Название;Описание;Адрес
56.98049;60.54686;Стрекоза;парикмахерская;Успенский проспект, 125, 1 этаж
56.839376;60.600818;Sante;студия ногтевого сервиса;8 Марта, 7, 1 этаж
56.786131;60.525086;Goddess;центр косметологии и красоты;Анатолия Мехренцева, 42, цокольный этаж
56.817564;60.583534;Николь;салон красоты;Посадская, 54, 1 этаж
56.813295;60.605582;Brilliant style;студия;Фрунзе, 62, 1 этаж, вход с ул. Фрунзе
56.819861;60.618352;Other Story;студия красоты;Белинского, 108, 235 офис, 16 этаж
56.793458;60.57622;Счастливые леди;студия красоты и здоровья;Амундсена, 73, 1 этаж
56.833528;60.627061;ЭНИ;салон красоты;Бажова, 136, 1 этаж, 4 подъезд
56.899263;60.616269;Подружки;студия красоты;Стачек, 70, цокольный этаж
56.908033;60.621802;Парикмахерская;ИП Павлова С.С.;Совхозная, 2, 1 этаж
56.853881;60.634645;Буржуа;салон красоты;Советская, 25
56.801622;60.611506;Profi-Planet;салон-магазин;ЖК Зелёный мыс, 8 Марта, 194, 2 этаж
56.831268;60.599053;Brue;студия красоты;Офисный дом Суворов, Радищева, 6а, 1402 офис, 14 этаж
56.843435;60.575612;Soroka;студия красоты;Шевелёва, 7, 1 этаж
56.816498;60.585713;QM;салон красоты;ТРЦ ФанФан, Ясная, 2, 2.32 павильон, 2 этаж
56.907834;60.589176;BRIGHT;имидж-студия;Восстания, 99
56.817476;60.561349;Красапаня;салон красоты;Шаумяна, 105/1, 1 этаж
56.837038;60.630911;MONE;салон красоты;Малышева, 116, 1 этаж
56.803585;60.627992;Nail Profi;школа-студия ногтевого сервиса;Белинского, 165Б, 1 этаж
56.8359;60.615585;Антей;салон красоты;ТРЦ Антей, Малышева, 53, 226 офис, 2 этаж
56.823845;60.605354;Клиника здоровья и красоты Ирины Павловой;;8 Марта, 51, 19 этаж
56.874093;60.523907;Seven days ekb;студия красоты;Таёжная, 4, цокольный этаж
56.852198;60.645216;Loft 20;студия красоты;Блюхера, 16Б, 1 этаж
56.836665;60.627898;Натали;салон-парикмахерская;Бажова, 127, 1 этаж
56.832341;60.658276;Melissa Studio;студия красоты;Библиотечная, 43, 5 офис, 2 этаж
56.836589;60.690252;Эдем;студия;Рассветная, 6 к1, 378 офис
56.824841;60.606775;Lina PRO;салон красоты;Степана Разина, 2, 120 офис, 7 этаж
56.83432;60.619625;Карамель;парикмахерский салон;Мамина-Сибиряка, 104, 1 этаж
56.824099;60.593983;MUSS STUDIO;студия красоты;Народной Воли, 25, 1 этаж
56.828229;60.593053;Costа Ricа;салон красоты;Хохрякова, 72, 602 офис, 6 этаж
56.819861;60.618352;Ramazanova studio;студия красоты;Белинского, 108, 78 офис, 7 этаж
56.829111;60.598762;Brow Bar ODRY;салон красоты;ТРЦ Гринвич, 8 Марта, 46, 1 этаж
56.908378;60.808484;Ольга;парикмахерская;Восточная, 9, 1 этаж
56.829357;60.672589;Grimerka;студия красоты;КомсоМолл, Сибирский тракт дублёр, 2, 1 этаж
56.81328;60.610194;Сапфир;салон красоты;Фрунзе, 41, 1 этаж
56.787815;60.527351;Бьюти сервис;салон красоты;Анатолия Мехренцева, 38, 1 этаж
56.897535;60.604702;За кулисами;салон красоты;Победы, 24, 1 этаж
56.826825;60.59451;Кошкин Дом;студия косметологии и эпиляции;Хохрякова, 74, 403 офис, 4 этаж
56.894529;60.604401;Июнь;салон-парикмахерская;Ильича, 38, 1 этаж
56.884385;60.569518;Платинум;салон красоты;Машиностроителей, 20, 1 этаж
56.837849;60.5433;Андерсен;семейная парикмахерская-клуб;Татищева, 94
56.781126;60.533964;Шпилька;салон красоты;Чкалова, 250, 1 этаж
56.833622;60.586682;Bellucci;салон красоты;Шейнкмана, 45
56.687656;60.840278;Малина;салон красоты;Текстильщиков, 3а, 1 этаж
56.860469;60.625313;Креатюрр;студия красоты;Уральская, 48, 1 этаж
56.904083;60.6006;Парикмахерская;;ТЦ Кировский Люкс, Восстания, 50, 2 этаж
56.841257;60.582191;Beauty Club;студия красоты;ДЦ Микрон, Челюскинцев, 2/5, 1 этаж
